vehicleId,currentHubId,maxCapacityKg,costPerKm
TRK-0001,WH-004,7046.91,3.15
TRK-0002,WH-058,14181.93,4.26
TRK-0003,WH-100,19001.21,4.04
TRK-0004,wh-035,6326.79,3.10
TRK-0005,WH-052,8225.27,1.75
TRK-0006,WH-083,2780.15,3.23
 TRK-0007 ,WH-031,4445.72,3.32
TRK-0008,WH-084,17097.36,3.60
TRK-0009,WH-069,10024.84,3.83
TRK-0010,WH-074,19518.05,N/A
TRK-0011,WH-018,4667.11,0.61
TRK-0012, WH-002 ,7151.99,1.70
TRK-0013,WH-049,6798.79,0.94
TRK-0014,WH-073,6986.98,3.10
TRK-0015,WH-056,2796.44,1.01
TRK-0016,WH-067,13602.73,2.75
TRK-0017,WH-063,6585.04,
TRK-0018,WH-077,14047.67,4.36
TRK-0019,WH-049,1327.26,2.65
TRK-0020,WH-028,16113.35,0.97
TRK-0021,WH-011,3229.77,4.20
TRK-0022,WH-030,12735.66,3.90
TRK-0023,WH-078,3112.27,1.74
TRK-0024,WH-012,null,2.99
TRK-0025,WH-062,13886.87,3.82
TRK-0026,WH-001,17770.34,1.26
TRK-0027,WH-067,1629.52,4.10
TRK-0028,WH-062,15963.35,3.73
TRK-0029,WH-051,13107.02,1.51
TRK-0030,WH-085,9349.67,2.05
TRK-0031, WH-057 ,1842.94,2.60
TRK-0032,WH-040,18440.90,2.85
TRK-0033,WH-056,8329.34,2.26
 TRK-0034 ,WH-095,17168.95,1.67
TRK-0035,WH-028,18869.97,2.77
TRK-0036,WH-035,1174.36,2.46
TRK-0037,WH-057,8317.31,4.25
TRK-0038,WH-017,5697.15,0.85
 TRK-0039 ,WH-089,10086.22,2.20
TRK-0040,WH-037,10405.18,2.36
TRK-0041,WH-029,19330.31,
TRK-0042,WH-073,14708.16,3.51
TRK-0043,WH-035,15668.03,3.26
 TRK-0044 ,WH-016,8071.48,3.01,
TRK-0045,WH-041,13547.60,0.70
TRK-0046,WH-042,5496.26,1.05
TRK-0047,WH-008,13345.14,4.02
 TRK-0048 ,WH-089,10000.05,2.51
TRK-0049,WH-048,null,1.79,
TRK-0050,WH-015,12992.39,1.95
TRK-0051,WH-055, 4137.350336375897 ,4.33
TRK-0052,WH-051,14344.80,4.25
