id,weight,originHubId,destinationHubId,priority
pkg-000001,134.37,WH-073,WH-037,STANDARD
pkg-000002,492.63, WH-098 ,WH-043,STANDARD
PKG-000003,220.10,WH-072,WH-042,STANDARD
PKG-000004,147.56,WH-095,WH-017,LOW
PKG-000005,205.94,WH-028,WH-073,URGENT
PKG-000006,null,WH-077,wh-024,URGENT
PKG-000007,338.24,WH-065,WH-029,STANDARD
PKG-000008,426.30,WH-055,WH-018,EXPRESS
PKG-000009,460.06,WH-073,WH-048,urgent
PKG-000010,451.69,WH-038,WH-097,STANDARD
PKG-000011,283.33,WH-048,wh-068,STANDARD
PKG-000012,155.54,WH-061,WH-077,LOW
PKG-000013,323.45,WH-067,WH-008,URGENT
PKG-000014,433.76,WH-024,WH-090,LOW
PKG-000015,411.13,WH-054,WH-078,STANDARD
PKG-000016,157.10,WH-015,WH-030,LOW
PKG-000017,278.71,WH-047,WH-063,standard
pkg-000018,315.63,WH-067,WH-019,URGENT
PKG-000019,264.28,WH-010, WH-057 ,URGENT
PKG-000020,424.29,WH-061,WH-010,URGENT
PKG-000021,336.94,WH-056,WH-044,LOW
pkg-000022,405.73,WH-048,WH-012,URGENT
PKG-000023,309.72,WH-082,WH-031,LOW
PKG-000024,155.70,WH-046,WH-036,LOW
PKG-000025,315.75,wh-015,WH-069, LOW 
PKG-000026,351.82,WH-047,WH-060,STANDARD
PKG-000027,489.45,WH-013,WH-050,STANDARD
PKG-000028,387.16,wh-050,WH-022,LOW
PKG-000029,122.25,WH-052,WH-075,URGENT
PKG-000030,290.52,WH-029,WH-005,STANDARD
PKG-000031,232.08,WH-001,WH-083,STANDARD,
PKG-000032,1.63,WH-086, WH-049 ,URGENT
PKG-000033,470.02,WH-054,WH-067,STANDARD
pkg-000034,411.33,WH-035, WH-081 ,STANDARD
PKG-000035,4.66,WH-036,WH-080,standard
pkg-000036,264.64,wh-076,wh-073,URGENT
PKG-000037,null,wh-024,WH-068,STANDARD
PKG-000038,450.61,WH-074,WH-002,URGENT
PKG-000039,405.19024659170924kg,WH-044,WH-025,URGENT
PKG-000040,177.34,WH-004,WH-036,URGENT
PKG-000041,260.75,WH-022,WH-030,URGENT
PKG-000042,112.97,WH-069,,URGENT
PKG-000043,336.00,WH-024,WH-008,URGENT
PKG-000044,376.34,wh-099,WH-011,LOW

PKG-000045,153.52,WH-071,WH-090,NONE
PKG-000046,355.77,WH-046,WH-010,URGENT
PKG-000047,372.94,WH-042,WH-033,LOW
PKG-000048,164.66,WH-010,WH-027,STANDARD
PKG-000049,481.7725414347238kg,WH-061,wh-006,STANDARD
PKG-000050,177.49,WH-090,WH-040,STANDARD
 PKG-000051 ,233.35,WH-055,WH-030,STANDARD
PKG-000052,58.12,WH-093,WH-050,STANDARD
PKG-000053,208.05,WH-057,WH-006,STANDARD
PKG-000054,105.99,WH-069,WH-037,URGENT
PKG-000055,271.47,WH-039,WH-071, STANDARD 
pkg-000056,170.06, WH-009 ,, VIP 
PKG-000057,448.02,WH-015,WH-060,LOW
,277.61,,WH-011,LOW
PKG-000059,141.69,WH-001,,LOW
PKG-000060,146.03,WH-036,WH-064,STANDARD
PKG-000061,362.47,WH-088,WH-039,LOW
PKG-000062,368.01,WH-080,WH-062,STANDARD
PKG-000063,344.89,WH-094,WH-059,STANDARD
PKG-000064,260.17,WH-064,WH-071,URGENT
PKG-000065,140.15,WH-037,WH-020,LOW
PKG-000066,197.52,WH-012,WH-050,URGENT
PKG-000067,160.10,WH-055,WH-050,STANDARD
PKG-000068,238.75,WH-061,WH-093,STANDARD
PKG-000069,487.04,WH-064,WH-071,URGENT

PKG-000070,361.75,WH-070,WH-021,URGENT
PKG-000071,37.11,WH-018,WH-089,STANDARD
PKG-000072,75.98,WH-017,WH-060,STANDARD
PKG-000073,17.63,WH-036,WH-062,LOW
