routeId,originHubId,destinationHubId,distanceKm,typicalDelayMin
RT-00001,WH-001,WH-002,274.1763196590657,89
RT-00002,WH-002,WH-003,229.0467159259265,93
RT-00003,WH-003,WH-004,128.20320348362702,37
RT-00004,WH-004,WH-005,220.54386316692253,84
RT-00005,WH-005,WH-006,182.2794586806471,58
RT-00006,WH-006,WH-007,52.41320599090561,78
RT-00007,WH-007,WH-008,93.8468427240864,82
RT-00008,WH-008,WH-009,231.11857835277698,35
RT-00009,WH-009,WH-010,250.59253890298893,118
RT-00010,WH-010,WH-011,56.6512281659844,78
RT-00011,WH-011,WH-012,270.62610775973985,48
RT-00012,WH-012,WH-013,213.34401116640618,74
RT-00013,WH-013,WH-014,107.81367856503167,40
RT-00014,WH-014,WH-015,244.6447296295842,31
RT-00015,WH-015,WH-016,144.76250226284094,83
RT-00016,WH-016,WH-017,286.85338383125,114
RT-00017,WH-017,WH-018,155.2237123574123,41
RT-00018,WH-018,WH-019,184.582342726776,88
RT-00019,WH-019,WH-020,166.0331308109109,102
RT-00020,WH-020,WH-021,140.80697051765873,87
RT-00021,WH-021,WH-022,200.33926088133327,82
RT-00022,WH-022,WH-023,53.05564155058899,30
RT-00023,WH-023,WH-024,142.52316770958302,95
RT-00024,WH-024,WH-025,170.46079988633727,92
RT-00025,WH-025,WH-026,179.3032544166097,59
RT-00026,WH-026,WH-027,218.64906966305279,59
RT-00027,WH-027,WH-028,92.51720896958949,112
RT-00028,WH-028,WH-029,63.1113254935441,111
RT-00029,WH-029,WH-030,74.39705518962967,93
RT-00030,WH-030,WH-031,54.020564064157185,84
RT-00031,WH-031,WH-032,177.26330226056677,71
RT-00032,WH-032,WH-033,210.14427306233137,50
RT-00033,WH-033,WH-034,137.24479447604105,69
RT-00034,WH-034,WH-035,164.23257427562862,65
RT-00035,WH-035,WH-036,197.16230560571253,98
RT-00036,WH-036,WH-037,237.04066675781644,63
RT-00037,WH-037,WH-038,94.32848197128686,77
RT-00038,WH-038,WH-039,273.9124376812563,54
RT-00039,WH-039,WH-040,263.40069742453994,39
RT-00040,WH-040,WH-041,256.63538024516515,48
RT-00041,WH-041,WH-042,232.961322422705,73
RT-00042,WH-042,WH-043,284.8451816562581,41
RT-00043,WH-043,WH-044,297.2214593762333,83
RT-00044,WH-044,WH-045,291.39873144652177,58
RT-00045,WH-045,WH-046,159.92992839483185,112
RT-00046,WH-046,WH-047,119.02370265732225,101
RT-00047,WH-047,WH-048,73.3717480479968,116
RT-00048,WH-048,WH-049,87.62062451520964,52
RT-00049,WH-049,WH-050,163.293967969863,115
RT-00050,WH-050,WH-051,215.6548477451925,87
RT-00051,WH-051,WH-052,239.7890131541557,78
RT-00052,WH-052,WH-053,175.3122025113783,76
RT-00053,WH-053,WH-054,289.42185461545296,93
RT-00054,WH-054,WH-055,54.717995304526966,50
RT-00055,WH-055,WH-056,188.34415526437397,62
RT-00056,WH-056,WH-057,83.84471331995209,108
RT-00057,WH-057,WH-058,119.63257459092803,118
RT-00058,WH-058,WH-059,299.56057535578447,116
RT-00059,WH-059,WH-060,128.77073645519633,54
RT-00060,WH-060,WH-061,64.90398383518762,113
RT-00061,WH-061,WH-062,65.18428719003276,116
RT-00062,WH-062,WH-063,287.9543976346099,104
RT-00063,WH-063,WH-064,53.20317677923024,108
RT-00064,WH-064,WH-065,125.42440192146391,110
RT-00065,WH-065,WH-066,95.28024794371998,68
RT-00066,WH-066,WH-067,112.52956747682799,97
RT-00067,WH-067,WH-068,196.31775253677029,103
RT-00068,WH-068,WH-069,271.24147357464074,88
RT-00069,WH-069,WH-070,109.70897796087101,95
RT-00070,WH-070,WH-071,119.1229705242955,78
RT-00071,WH-071,WH-072,198.6589689773557,65
RT-00072,WH-072,WH-073,214.02731878766227,32
RT-00073,WH-073,WH-074,163.96084405145928,44
RT-00074,WH-074,WH-075,285.08440909314004,95
RT-00075,WH-075,WH-076,101.4328194901525,49
RT-00076,WH-076,WH-077,238.76509667600018,49
RT-00077,WH-077,WH-078,192.11406475409154,80
RT-00078,WH-078,WH-079,219.77588014608298,80
RT-00079,WH-079,WH-080,202.08140243324837,77
RT-00080,WH-080,WH-081,161.9204419074624,101
RT-00081,WH-081,WH-082,211.54978066364927,83
RT-00082,WH-082,WH-083,76.07918285600545,101
RT-00083,WH-083,WH-084,159.08690913646376,102
RT-00084,WH-084,WH-085,143.38429198877432,114
RT-00085,WH-085,WH-086,115.8583996439032,89
RT-00086,WH-086,WH-087,233.86831171735065,92
RT-00087,WH-087,WH-088,259.1665106421556,73
RT-00088,WH-088,WH-089,231.2572302160221,35
RT-00089,WH-089,WH-090,160.89067894747046,49
RT-00090,WH-090,WH-091,249.74648997505014,87
RT-00091,WH-091,WH-092,99.37703758371688,78
RT-00092,WH-092,WH-093,275.7044571279803,69
RT-00093,WH-093,WH-094,141.14044039334354,60
RT-00094,WH-094,WH-095,128.07669017325577,43
RT-00095,WH-095,WH-096,67.75274281827743,100
RT-00096,WH-096,WH-097,85.56790021490994,57
RT-00097,WH-097,WH-098,124.82012088449092,72
RT-00098,WH-098,WH-099,264.96139322829754,87
RT-00099,WH-099,WH-100,236.12471571281236,32
RT-00101,WH-011,WH-006,736.46,276
RT-00102,WH-023,WH-039,832.49,304
RT-00103,WH-013,WH-097,902.25,74
RT-00104,WH-092,WH-048,831.27,25
RT-00105, WH-087 ,WH-027,571.67,225
RT-00106,WH-006,WH-033,null,126
RT-00107,WH-051,WH-084,835.51,74
RT-00108,WH-076,WH-061,681.62,116
RT-00109,WH-018,WH-091,133.04,320
RT-00110,WH-075,WH-035,36.11,154
RT-00111,WH-011,WH-060,1214.14,108
RT-00112,wh-048, WH-076 ,651.75,181
RT-00113,WH-081,WH-018,600.37,148
rt-00114,wh-007,WH-069,67.58,279
 RT-00115 ,WH-057,WH-095,N/A, 334 
RT-00116,WH-080,WH-023,805.34,359
 RT-00117 ,,WH-059,1222.77,57
RT-00118,wh-025,WH-016,734.16,144
RT-00119,WH-023,WH-067,1341.94,248
RT-00120, WH-083 ,WH-051,1353.30,85
RT-00121,WH-043,WH-002,264.79,152
RT-00122,WH-013,WH-015,639.46,300
RT-00123,WH-042,WH-001,1263.80,315
,WH-067,WH-017,717.89,239
RT-00125,wh-042,WH-011,87.75,292
RT-00126,WH-020,WH-038,553.29,60
RT-00127,WH-056,WH-076,1405.84,78
RT-00128,WH-017,WH-044,529.70,137
RT-00129,WH-015,WH-060,603.44,51
RT-00130,, WH-094 ,506.69,174
RT-00131,WH-023,WH-030,154.03,307
RT-00132,WH-065,WH-087,1344.47,N/A
RT-00133,WH-063,WH-095,1181.49,257,
RT-00134,wh-100,WH-035,1328.35,248
RT-00135,WH-067, WH-010 ,1060.74,254
RT-00136,WH-011,WH-088, 451.8963879451958 ,277
RT-00137,WH-005,WH-068,321.06,327
RT-00138,WH-072,WH-045,1271.37,24
RT-00139,WH-068,WH-016,1393.96,94,
RT-00140,WH-082,WH-033,917.37,43
RT-00141,WH-018,WH-006,511.90,305
RT-00142,WH-071,WH-099,1365.49,332
RT-00143,wh-087,WH-025,1047.36,256
,WH-085,WH-008,1298.26,326
RT-00145,WH-086,wh-031,1194.68,307
RT-00146,WH-073,WH-041,873.93,23
RT-00147,WH-032,WH-049,368.12,256
RT-00148,WH-037,WH-036,932.38
RT-00149,WH-057,WH-044,487.42,100
RT-00150,WH-028, WH-038 ,321.95,67
RT-00151,WH-051,WH-065,1314.01,110
RT-00152, WH-099 , WH-046 ,1458.52,101
RT-00153,WH-020,WH-026,1256.66,90
RT-00154,WH-065,wh-056,873.48
RT-00155,WH-053,WH-065,1138.15,331
RT-00156,WH-097,WH-042,55.92,353
RT-00157,WH-041,WH-012,213.83
RT-00158,WH-002,WH-025,64.13,194
RT-00159,WH-074,wh-013,697.66,216
RT-00160,wh-024,WH-057,867.28,97
RT-00161,WH-032,WH-087,58.33,270
RT-00162,WH-010,WH-085,312.91,40
RT-00163,WH-039,WH-004,841.21,280
,WH-080,WH-067,904.92,299
RT-00165,WH-034,WH-018,737.10,67
 RT-00166 ,WH-051,WH-024,1437.98,17
RT-00167,WH-075,WH-038,1372.30,247
RT-00168,WH-007,WH-045,727.31,265
RT-00169,WH-039,WH-079,56.50,325
RT-00170,WH-059,WH-070,1136.72,80
