id,name,regionalZone,latitude,longitude
WH-001,Hub-001,CENTRAL,37.91,-88.46
WH-002,Hub-002,WEST,29.64,-99.44
,Hub-003,NORTH,34.88,N/A
WH-004,Hub-004,CENTRAL,32.07,-116.21
WH-005,Hub-005,CENTRAL,45.23,-124.97
wh-006,Hub-006,WEST,31.29,-106.19
WH-007,Hub-007,SOUTH,N/A,-101.47
WH-008,Hub-008,EAST,46.95,-101.47
WH-009,Hub-009,WEST,34.23,-114.16
WH-010,Hub-010,NORTH,31.03,-120.67
WH-011,hub-011, WEST ,46.03,-71.11
WH-012,Hub-012,EAST, 46.83713289907592 ,-108.09
 WH-013 ,Hub-013,CENTRAL,39.67,-71.03
WH-014,Hub-014, EAST ,27.46,-85.37
wh-015,HUB-015, EAST ,29.42,-112.13
WH-016,Hub-016,WEST,38.53,-107.24
WH-017,HUB-017, CENTRAL ,,-117.01
,Hub-018,NORTH,41.54,-95.46
,Hub-019,CENTRAL,28.274166220721654,-100.31
wh-020,Hub-020,EAST,47.57,-75.45
WH-021,Hub-021,WEST,46.79,null
WH-022,Hub-022,,37.32,-81.76
WH-023,Hub-023,SOUTH,31.92,-101.02
WH-024,HUB-024,WEST,36.80,-113.03
WH-025,Hub-025,EAST,45.19,-111.67
wh-026,Hub-026,WEST,29.98,-90.51
WH-027,Hub-027,EAST,25.71,-120.50
WH-028,Hub-028,EAST,44.05,-99.80
WH-029,Hub-029,NORTH,35.73,-69.17
 WH-030 ,Hub-030,WEST,31.80,-110.53
WH-031,Hub-031,WEST,42.94,-98.15
WH-032,Hub-032,EAST,28.92,-79.22
WH-033,Hub-033,NORTH,29.24,-77.53
WH-034,hub-034,NORTH,37.61,-109.94
wh-035,Hub-035,SOUTH,47.16,-87.31
WH-036,Hub-036,SOUTH,36.04,-98.49
WH-037,Hub-037,CENTRAL,33.58,-108.50

WH-038,Hub-038, EAST , 31.70053385660863 ,-114.35
WH-039,Hub-039,WEST,31.54,-77.62
WH-040,Hub-040,SOUTH,31.28,-110.49
WH-041,Hub-041,SOUTH,29.41,-94.30
WH-042,Hub-042,EAST,26.38,null
wh-043,Hub-043,CENTRAL,38.00,-115.20
WH-044,Hub-044,WEST,32.34,-110.92
WH-045,Hub-045,NORTH,48.33,-74.68
WH-046,Hub-046,SOUTH,34.90,-70.18
WH-047, Hub-047 ,SOUTH,43.44,-100.65
WH-048, Hub-048 ,CENTRAL,43.77,-86.53
WH-049,Hub-049,NORTH,44.17,-94.96
WH-050,Hub-050,EAST,26.65, -119.5283830097007 
 WH-051 ,Hub-051,SOUTH,28.76,-69.87
WH-052,Hub-052,EAST,24.93,-124.59
WH-053,Hub-053,SOUTH,33.49,-98.42
WH-054, Hub-054 ,WEST,38.48,-96.13
 WH-055 ,Hub-055,EAST,42.43,-67.85
WH-056,Hub-056,SOUTH,39.38,-91.06
,hub-057,SOUTH,32.39,-99.53
wh-058,Hub-058,NORTH,27.39,-107.81
WH-059,Hub-059,NORTH,28.43,-109.93
WH-060,Hub-060,CENTRAL,37.94,-82.41
WH-061,Hub-061,SOUTH,24.70,-98.21
WH-062,Hub-062,CENTRAL,38.51,-80.28
WH-063,Hub-063,CENTRAL,39.24,-103.31
WH-064,Hub-064,NORTH,27.56,-89.37
WH-065,Hub-065,WEST,31.70,-82.13
WH-066,HUB-066,WEST,null,-74.28
WH-067,Hub-067,NORTH,48.72,-114.37
WH-068,Hub-068,WEST,26.43, -108.90008212066844 
WH-069,Hub-069,SOUTH,40.55,-67.44
WH-070,Hub-070,NORTH,null,-96.92
WH-071,Hub-071,CENTRAL,27.31,-75.85
WH-072,HUB-072,WEST,33.70,-111.89
WH-073,Hub-073,SOUTH,25.72,-83.04
WH-074, Hub-074 ,EAST,31.62,-116.70
wh-075,Hub-075,EAST,42.35,-106.98
WH-076,Hub-076,WEST,35.30,-98.29
WH-077,Hub-077,NORTH,44.27,-84.12
WH-078,HUB-078,CENTRAL,30.39,-112.36
WH-079,hub-079,west,44.40,-113.63
WH-080,Hub-080,west,27.90,-97.13
WH-081,HUB-081,EAST,48.40,-111.35
WH-082,Hub-082,CENTRAL,39.92,-118.25
WH-083,Hub-083,SOUTH,31.14,-90.68
WH-084,Hub-084,SOUTH,46.42,-99.72
WH-085,hub-085,NORTH,27.14, -80.9763304553274 
WH-086,Hub-086,EAST,41.76,-102.55
WH-087,HUB-087,NORTH,31.97,-118.65
WH-088, Hub-088 ,CENTRAL,28.21,-107.89
wh-089, Hub-089 , CENTRAL ,33.97, -70.62114787961895 
WH-090,Hub-090,EAST,33.04,-88.11
WH-091,Hub-091,EAST,37.78,-72.32
WH-092,Hub-092,SOUTH,31.88,-114.94
WH-093,Hub-093,CENTRAL,27.91,-81.70,
WH-094,Hub-094,SOUTH,25.78,-92.31382381798483
WH-095, Hub-095 ,EAST,41.93,-99.68
WH-096,HUB-096,WEST,34.60,-81.62
WH-097, Hub-097 ,EAST,42.18,-120.55
WH-098,Hub-098,WEST,31.44,-86.98
WH-099,Hub-099,WEST,27.87,-85.53
WH-100,hub-100,SOUTH,31.92,null
